#{"t_start": 1781144250.7573416, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,0.999148,0.0
-99.0,100,1.110113,0.0
-100.0,100,1.217937,0.0
-100.0,100,1.327173,0.0
-100.0,100,1.435788,0.0
-100.0,100,1.547722,0.0
-100.0,100,1.662045,0.0
-100.0,100,1.769358,0.0
-100.0,100,1.877722,0.0
-100.0,100,1.983077,0.0
-100.0,100,2.092123,0.0
-100.0,100,2.205417,0.0
-100.0,100,2.309165,0.0
-100.0,100,2.413734,0.0
-100.0,100,2.52085,0.0
-100.0,100,2.627776,0.0
-100.0,100,2.735605,0.0
-98.0,100,2.841443,0.0
-100.0,100,2.949047,0.0
-100.0,100,3.056575,0.0
-100.0,100,3.166742,0.0
-100.0,100,3.281458,0.0
-100.0,100,3.391721,0.0
-100.0,100,3.499461,0.0
-100.0,100,3.608597,0.0
-100.0,100,3.715251,0.0
-100.0,100,3.820967,0.0
-100.0,100,3.929336,0.0
-100.0,100,4.038003,0.0
-87.0,100,4.144354,0.0
-100.0,100,4.253565,0.0
-100.0,100,4.359987,0.0
-100.0,100,4.467915,0.0
-100.0,100,4.575262,0.0
-100.0,100,4.681854,0.0
-100.0,100,4.787608,0.0
-100.0,100,4.894712,0.0
-100.0,100,4.998477,0.0
-100.0,100,5.103414,0.0
-100.0,100,5.20857,0.0
-100.0,100,5.314794,0.0
-100.0,100,5.421116,0.0
-100.0,100,5.526168,0.0
-100.0,100,5.632891,0.0
-100.0,100,5.737042,0.0
-100.0,100,5.844313,0.0
-100.0,100,5.949463,0.0
-100.0,100,6.056988,0.0
-100.0,100,6.161727,0.0
-100.0,100,6.267479,0.0
-100.0,100,7.061027,0.0
-100.0,100,7.70409,0.0
-100.0,100,8.324695,0.0
-100.0,100,8.96125,0.0
-100.0,100,9.608603,0.0
-100.0,100,10.256816,0.0
-100.0,100,10.909756,0.0
-100.0,100,11.55478,0.0
-100.0,100,12.183926,0.0
-100.0,100,12.865263,0.0
-100.0,100,13.602984,0.0
-100.0,100,14.316155,0.0
-100.0,100,15.032573,0.0
-100.0,100,15.786532,0.0
-100.0,100,16.496124,0.0
-100.0,100,17.198846,0.0
-100.0,100,17.926698,0.0
-100.0,100,18.626899,0.0
-100.0,100,19.284542,0.0
-100.0,100,19.920164,0.0
-100.0,100,20.579675,0.0
-99.0,100,21.217881,0.0
-100.0,100,21.871566,0.0
-100.0,100,22.525962,0.0
-100.0,100,23.175897,0.0
-100.0,100,23.861645,0.0
-100.0,100,24.534933,0.0
-100.0,100,25.330929,0.0
-100.0,100,26.014891,0.0
-100.0,100,26.698398,0.0
-100.0,100,27.335699,0.0
-100.0,100,27.993071,0.0
-100.0,100,28.626948,0.0
-100.0,100,29.307991,0.0
-100.0,100,29.946244,0.0
-99.0,100,30.607558,0.0
-100.0,100,31.261904,0.0
-100.0,100,31.95338,0.0
-100.0,100,32.610486,0.0
-100.0,100,33.292447,0.0
-100.0,100,34.005315,0.0
-100.0,100,34.675434,0.0
-100.0,100,35.309683,0.0
-100.0,100,35.954901,0.0
-100.0,100,36.590452,0.0
-100.0,100,37.238237,0.0
-100.0,100,37.939981,0.0
-97.0,100,38.672202,0.0
-100.0,100,39.348077,0.0
-100.0,100,40.072061,0.0
-100.0,100,42.096001,0.0
-100.0,100,42.731975,0.0
-100.0,100,43.368114,0.0
-100.0,100,44.020225,0.0
