#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,1.858318,0.0
-99.0,100,1.959152,0.0
-100.0,100,2.059427,0.0
-100.0,100,2.16052,0.0
-100.0,100,2.261579,0.0
-100.0,100,2.36547,0.0
-100.0,100,2.465505,0.0
-100.0,100,2.563844,0.0
-100.0,100,2.663751,0.0
-100.0,100,2.760791,0.0
-100.0,100,2.870154,0.0
-100.0,100,2.966645,0.0
-100.0,100,3.061789,0.0
-100.0,100,3.158217,0.0
-100.0,100,3.256933,0.0
-100.0,100,3.355403,0.0
-100.0,100,3.454302,0.0
-98.0,100,3.551688,0.0
-100.0,100,3.649722,0.0
-100.0,100,3.747973,0.0
-100.0,100,3.846325,0.0
-100.0,100,3.941795,0.0
-100.0,100,4.038509,0.0
-100.0,100,4.135772,0.0
-100.0,100,4.235733,0.0
-100.0,100,4.333589,0.0
-100.0,100,4.430923,0.0
-100.0,100,4.530568,0.0
-100.0,100,4.630428,0.0
-87.0,100,4.727551,0.0
-100.0,100,4.827551,0.0
-100.0,100,4.924296,0.0
-100.0,100,5.023249,0.0
-100.0,100,5.122901,0.0
-100.0,100,5.2234,0.0
-100.0,100,5.322345,0.0
-100.0,100,5.421987,0.0
-100.0,100,5.518336,0.0
-100.0,100,5.615395,0.0
-100.0,100,5.712069,0.0
-100.0,100,5.809609,0.0
-100.0,100,5.907041,0.0
-100.0,100,6.003853,0.0
-100.0,100,6.102391,0.0
-100.0,100,6.198375,0.0
-100.0,100,6.295597,0.0
-100.0,100,6.389116,0.0
-100.0,100,6.484553,0.0
-100.0,100,6.578648,0.0
-100.0,100,6.674212,0.0
-100.0,100,6.77294,0.0
-100.0,100,6.866982,0.0
-100.0,100,6.961104,0.0
-100.0,100,7.054658,0.0
-100.0,100,7.146699,0.0
-100.0,100,7.242104,0.0
-100.0,100,7.334473,0.0
-100.0,100,7.429665,0.0
-100.0,100,7.522618,0.0
-100.0,100,7.6148,0.0
-100.0,100,7.70934,0.0
-100.0,100,7.802374,0.0
-100.0,100,7.895628,0.0
-100.0,100,7.99081,0.0
-100.0,100,8.08399,0.0
-100.0,100,8.17877,0.0
-100.0,100,8.275733,0.0
-100.0,100,8.369091,0.0
-100.0,100,8.464457,0.0
-100.0,100,8.557341,0.0
-100.0,100,8.65318,0.0
-100.0,100,8.744689,0.0
-100.0,100,8.839471,0.0
-100.0,100,8.932289,0.0
-100.0,100,9.028461,0.0
-100.0,100,9.127909,0.0
-100.0,100,9.22341,0.0
-100.0,100,9.321508,0.0
-100.0,100,9.418277,0.0
-100.0,100,9.516168,0.0
-100.0,100,9.618678,0.0
-100.0,100,9.717434,0.0
-100.0,100,9.814478,0.0
-100.0,100,9.912791,0.0
-100.0,100,10.009414,0.0
-100.0,100,10.109236,0.0
-100.0,100,10.202727,0.0
-96.0,100,10.299756,0.0
-100.0,100,10.396304,0.0
-100.0,100,10.499324,0.0
-100.0,100,10.604859,0.0
-100.0,100,10.707287,0.0
-100.0,100,10.809382,0.0
-100.0,100,10.91134,0.0
-100.0,100,11.012943,0.0
-100.0,100,11.113511,0.0
-100.0,100,11.214494,0.0
-95.0,100,11.314767,0.0
-100.0,100,11.415441,0.0
-100.0,100,11.514884,0.0
-100.0,100,16.164804,0.0
